State Code,District Code,Sub District Code,Level,Area Name,Total number of inhabited villages,Total Rural population,,,Less than 200,,,,200-499,,,,500-999,,,,1000-1999,,,,2000-4999,,,,5000-9999,,,,10000 and above,,,
,,,,,,,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,,Number of Villages,Population,,
,,,,,,Persons ,Males,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females,,Persons,Males ,Females
01,010,00043,SUB-DISTRICT,Srinagar (North),8,10910,5725,5185,0,0,0,0,3,947,491,456,0,0,0,0,4,6786,3525,3261,1,3177,1709,1468,0,0,0,0,0,0,0,0
01,010,00044,SUB-DISTRICT,Srinagar (South),3,6403,3191,3212,0,0,0,0,0,0,0,0,0,0,0,0,1,1411,716,695,2,4992,2475,2517,0,0,0,0,0,0,0,0
01,011,00000,DISTRICT,Ganderbal,113,250407,133715,116692,5,586,310,276,12,4336,2269,2067,22,16094,8303,7791,23,32011,16778,15233,41,123059,66137,56922,9,59346,31614,27732,1,14975,8304,6671
01,011,00045,SUB-DISTRICT,Lar,42,80223,43281,36942,4,452,236,216,3,1090,580,510,11,7601,3961,3640,7,10069,5306,4763,14,41075,22658,18417,3,19936,10540,9396,0,0,0,0
01,011,00046,SUB-DISTRICT,Kangan,42,120934,64723,56211,0,0,0,0,3,1038,519,519,4,3154,1661,1493,10,13047,6963,6084,20,61779,32616,29163,4,26941,14660,12281,1,14975,8304,6671
01,011,00047,SUB-DISTRICT,Ganderbal,29,49250,25711,23539,1,134,74,60,6,2208,1170,1038,7,5339,2681,2658,6,8895,4509,4386,7,20205,10863,9342,2,12469,6414,6055,0,0,0,0
01,012,00000,DISTRICT,Pulwama,319,479978,248096,231882,14,1812,926,886,46,16741,8551,8190,79,59228,30258,28970,107,146972,75922,71050,60,182693,94346,88347,13,72532,38093,34439,0,0,0,0
01,012,00048,SUB-DISTRICT,Pampore,23,50033,26255,23778,1,141,66,75,1,351,204,147,8,6340,3184,3156,5,6849,3438,3411,5,18169,9178,8991,3,18183,10185,7998,0,0,0,0
01,012,00049,SUB-DISTRICT,Awantipora,43,73860,38169,35691,2,233,135,98,8,3161,1657,1504,8,6126,3217,2909,14,20116,10250,9866,8,26729,13962,12767,3,17495,8948,8547,0,0,0,0
01,012,00050,SUB-DISTRICT,Tral,66,92352,47592,44760,2,386,189,197,10,3837,1925,1912,11,8125,4142,3983,29,40050,20373,19677,14,39954,20963,18991,0,0,0,0,0,0,0,0
01,012,00051,SUB-DISTRICT,Pulwama,187,263733,136080,127653,9,1052,536,516,27,9392,4765,4627,52,38637,19715,18922,59,79957,41861,38096,33,97841,50243,47598,7,36854,18960,17894,0,0,0,0
01,013,00000,DISTRICT,Shupiyan,226,249855,127161,122694,9,1268,637,631,54,19938,10013,9925,85,64115,32432,31683,50,69288,35309,33979,26,78431,39807,38624,2,16815,8963,7852,0,0,0,0
01,013,00052,SUB-DISTRICT,Shopian,226,249855,127161,122694,9,1268,637,631,54,19938,10013,9925,85,64115,32432,31683,50,69288,35309,33979,26,78431,39807,38624,2,16815,8963,7852,0,0,0,0
01,014,00000,DISTRICT,Anantnag,335,795805,411012,384793,9,880,455,425,31,12076,6117,5959,44,35147,17856,17291,99,144683,74060,70623,116,345988,179801,166187,32,204583,105363,99220,4,52448,27360,25088
01,014,00053,SUB-DISTRICT,Pahalgam,65,104101,53290,50811,1,165,87,78,9,3339,1692,1647,17,13044,6631,6413,22,29627,15107,14520,14,39373,20026,19347,2,18553,9747,8806,0,0,0,0
01,014,00054,SUB-DISTRICT,Bijbehara,51,112197,56259,55938,1,116,51,65,8,3196,1635,1561,8,6704,3263,3441,16,23421,11757,11664,13,34663,17279,17384,4,28133,14197,13936,1,15964,8077,7887
01,014,00055,SUB-DISTRICT,Anantnag,82,179530,91832,87698,4,437,227,210,8,3029,1531,1498,8,6578,3373,3205,26,39745,20163,19582,30,91342,47176,44166,6,38399,19362,19037,0,0,0,0
01,014,00056,SUB-DISTRICT,Shangus,25,66228,34917,31311,0,0,0,0,1,431,213,218,3,2620,1336,1284,7,10358,5438,4920,11,32067,17205,14862,3,20752,10725,10027,0,0,0,0
01,014,00057,SUB-DISTRICT,Kokernag,51,167159,87355,79804,2,128,71,57,2,813,409,404,2,1289,683,606,12,18086,9382,8704,23,71748,37405,34343,7,38611,20122,18489,3,36484,19283,17201
01,014,00058,SUB-DISTRICT,Dooru,61,166590,87359,79231,1,34,19,15,3,1268,637,631,6,4912,2570,2342,16,23446,12213,11233,25,76795,40710,36085,10,60135,31210,28925,0,0,0,0
01,015,00000,DISTRICT,Kulgam,226,343870,175574,168296,9,1220,634,586,33,12425,6353,6072,56,42857,21754,21103,75,110188,56406,53782,46,133386,67890,65496,7,43794,22537,21257,0,0,0,0
01,015,00059,SUB-DISTRICT,Kulgam,161,214925,109277,105648,9,1220,634,586,21,7678,3908,3770,46,35364,17954,17410,52,77635,39593,38042,32,84985,43107,41878,1,8043,4081,3962,0,0,0,0
01,015,00060,SUB-DISTRICT, Devsar,15,22128,11344,10784,0,0,0,0,4,1491,781,710,2,1360,703,657,6,8721,4462,4259,2,5187,2653,2534,1,5369,2745,2624,0,0,0,0
